"time","close","high","low","open","volumefrom","volumeto","conversionType","conversionSymbol","ts","timeDate"
1503273600000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1503273600,"2017-08-20"
1503360000000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1503360000,"2017-08-21"
1503446400000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1503446400,"2017-08-22"
1503532800000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1503532800,"2017-08-23"
1503619200000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1503619200,"2017-08-24"
1503705600000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1503705600,"2017-08-25"
1503792000000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1503792000,"2017-08-26"
1503878400000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1503878400,"2017-08-27"
1503964800000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1503964800,"2017-08-28"
1504051200000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1504051200,"2017-08-29"
1504137600000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1504137600,"2017-08-30"
1504224000000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1504224000,"2017-08-31"
1504310400000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1504310400,"2017-09-01"
1504396800000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1504396800,"2017-09-02"
1504483200000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1504483200,"2017-09-03"
1504569600000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1504569600,"2017-09-04"
1504656000000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1504656000,"2017-09-05"
1504742400000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1504742400,"2017-09-06"
1504828800000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1504828800,"2017-09-07"
1504915200000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1504915200,"2017-09-08"
1505001600000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1505001600,"2017-09-09"
1505088000000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1505088000,"2017-09-10"
1505174400000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1505174400,"2017-09-11"
1505260800000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1505260800,"2017-09-12"
1505347200000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1505347200,"2017-09-13"
1505433600000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1505433600,"2017-09-14"
1505520000000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1505520000,"2017-09-15"
1505606400000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1505606400,"2017-09-16"
1505692800000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1505692800,"2017-09-17"
1505779200000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1505779200,"2017-09-18"
1505865600000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1505865600,"2017-09-19"
1505952000000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1505952000,"2017-09-20"
1506038400000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1506038400,"2017-09-21"
1506124800000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1506124800,"2017-09-22"
1506211200000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1506211200,"2017-09-23"
1506297600000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1506297600,"2017-09-24"
1506384000000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1506384000,"2017-09-25"
1506470400000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1506470400,"2017-09-26"
1506556800000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1506556800,"2017-09-27"
1506643200000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1506643200,"2017-09-28"
1506729600000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1506729600,"2017-09-29"
1506816000000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1506816000,"2017-09-30"
1506902400000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1506902400,"2017-10-01"
1506988800000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1506988800,"2017-10-02"
1507075200000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1507075200,"2017-10-03"
1507161600000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1507161600,"2017-10-04"
1507248000000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1507248000,"2017-10-05"
1507334400000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1507334400,"2017-10-06"
1507420800000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1507420800,"2017-10-07"
1507507200000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1507507200,"2017-10-08"
1507593600000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1507593600,"2017-10-09"
1507680000000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1507680000,"2017-10-10"
1507766400000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1507766400,"2017-10-11"
1507852800000,0.0396,0.0396,0.0396,0.0396,0,0,"direct","",1507852800,"2017-10-12"
