"time","timeDate","close","high","low","open","volumefrom","volumeto","ts"
1566518400000,"2019-08-22",0.00000181,0.0000019,0.00000179,0.00000183,21141914.51,39.05,
1566604800000,"2019-08-23",0.00000188,0.00000193,0.0000018,0.00000181,20015538.58,37.64,
1566691200000,"2019-08-24",0.0000018,0.00000192,0.00000179,0.00000188,15823823.11,29.32,
1566777600000,"2019-08-25",0.00000175,0.0000018,0.00000173,0.0000018,9380933.07,16.56,
1566864000000,"2019-08-26",0.00000179,0.00000181,0.00000173,0.00000175,14230106.82,25.22,
1566950400000,"2019-08-27",0.00000162,0.0000018,0.00000156,0.00000179,47193061.11,77.17,
1567036800000,"2019-08-28",0.00000162,0.00000165,0.00000157,0.00000162,11838555.01,19.11,
1567123200000,"2019-08-29",0.0000016,0.00000164,0.00000159,0.00000162,11685944.98,18.86,
1567209600000,"2019-08-30",0.00000161,0.00000163,0.00000159,0.0000016,5209042.78,8.389,
1567296000000,"2019-08-31",0.00000159,0.00000164,0.00000158,0.00000161,6771834.42,10.89,
1567382400000,"2019-09-01",0.00000151,0.00000159,0.00000147,0.00000159,9090763.01,13.9,
1567468800000,"2019-09-02",0.00000148,0.00000152,0.00000144,0.00000151,10027847.06,14.86,
1567555200000,"2019-09-03",0.00000148,0.00000151,0.00000145,0.00000148,7873956.24,11.69,
1567641600000,"2019-09-04",0.00000145,0.0000015,0.00000145,0.00000148,4815441.42,7.088,
1567728000000,"2019-09-05",0.00000148,0.00000149,0.00000142,0.00000145,6769405.65,9.842,
1567814400000,"2019-09-06",0.00000148,0.00000149,0.00000144,0.00000148,8194370.98,11.95,
1567900800000,"2019-09-07",0.00000151,0.00000153,0.00000145,0.00000148,9347947.97,13.97,
1567987200000,"2019-09-08",0.0000015,0.00000152,0.00000147,0.00000151,6848504.66,10.25,
1568073600000,"2019-09-09",0.00000153,0.00000154,0.00000148,0.0000015,13477902.92,20.39,
1568160000000,"2019-09-10",0.00000147,0.00000155,0.00000146,0.00000153,10751864.36,16.07,
1568246400000,"2019-09-11",0.00000141,0.00000149,0.00000138,0.00000147,10467816.89,14.95,
1568332800000,"2019-09-12",0.00000139,0.00000143,0.00000138,0.00000141,5792518.92,8.13,
1568419200000,"2019-09-13",0.00000141,0.00000142,0.00000137,0.00000139,7432062.51,10.39,
1568505600000,"2019-09-14",0.0000014,0.00000142,0.00000138,0.00000141,8180240.24,11.42,
1568592000000,"2019-09-15",0.00000141,0.00000143,0.00000139,0.0000014,5793430.96,8.181,
1568678400000,"2019-09-16",0.00000145,0.00000146,0.00000138,0.00000141,18674773.16,26.58,
1568764800000,"2019-09-17",0.00000158,0.00000169,0.00000145,0.00000145,58923015.98,92.71,
1568851200000,"2019-09-18",0.00000153,0.00000163,0.0000015,0.00000158,47683041.43,74.69,
1568937600000,"2019-09-19",0.00000152,0.00000154,0.00000149,0.00000153,16263391.5,24.71,
1569024000000,"2019-09-20",0.00000154,0.00000156,0.00000151,0.00000152,12741195.98,19.56,
1569110400000,"2019-09-21",0.00000152,0.00000155,0.00000151,0.00000154,9842392.51,15.04,
1569196800000,"2019-09-22",0.0000015,0.00000153,0.00000148,0.00000152,8153129.37,12.28,
1569283200000,"2019-09-23",0.00000142,0.00000152,0.0000014,0.0000015,21925944.99,31.9,
1569369600000,"2019-09-24",0.00000148,0.00000149,0.00000139,0.00000142,50944794.93,73.13,
1569456000000,"2019-09-25",0.00000148,0.00000152,0.00000145,0.00000148,20501277.43,30.29,
1569542400000,"2019-09-26",0.00000151,0.00000152,0.00000147,0.00000148,29275157.05,43.69,
1569628800000,"2019-09-27",0.00000151,0.00000154,0.00000149,0.00000151,14834566.19,22.45,
1569715200000,"2019-09-28",0.0000015,0.00000153,0.00000146,0.00000151,11662615.59,17.51,
1569801600000,"2019-09-29",0.00000154,0.00000154,0.00000149,0.0000015,24381254.66,37.24,
1569888000000,"2019-09-30",0.00000151,0.00000154,0.0000015,0.00000154,12675538.14,19.19,
1569974400000,"2019-10-01",0.00000152,0.00000156,0.0000015,0.00000151,10914135.6,16.74,
1570060800000,"2019-10-02",0.00000152,0.00000154,0.0000015,0.00000152,9495496.66,14.45,
1570147200000,"2019-10-03",0.00000152,0.00000154,0.0000015,0.00000152,6956085.2,10.62,
1570233600000,"2019-10-04",0.00000158,0.00000159,0.00000152,0.00000152,18565137.15,29.14,
1570320000000,"2019-10-05",0.0000016,0.00000161,0.00000157,0.00000158,8724197.25,13.87,
1570406400000,"2019-10-06",0.0000016,0.00000165,0.00000158,0.0000016,17423064.8,28.07,
1570492800000,"2019-10-07",0.00000167,0.00000168,0.00000159,0.0000016,13297726.93,21.86,
1570579200000,"2019-10-08",0.00000162,0.00000176,0.00000158,0.00000167,26032653.61,43.53,
1570665600000,"2019-10-09",0.00000156,0.00000162,0.00000152,0.00000162,14974563.33,23.37,
1570752000000,"2019-10-10",0.00000153,0.00000156,0.00000148,0.00000156,23341049.47,35.36,
1570838400000,"2019-10-11",0.0000015,0.00000154,0.0000015,0.00000153,7331884.54,11.15,
1570924800000,"2019-10-12",0.00000155,0.00000159,0.00000149,0.0000015,23803755.31,36.87,
1571011200000,"2019-10-13",0.00000156,0.00000158,0.00000152,0.00000155,14194672.81,22.01,
1571097600000,"2019-10-14",0.00000155,0.00000157,0.00000153,0.00000156,8350109.77,12.9,
1571184000000,"2019-10-15",0.00000154,0.00000155,0.00000151,0.00000155,6743829.77,10.34,
1571270400000,"2019-10-16",0.00000157,0.0000016,0.00000154,0.00000154,12773086.85,20.11,
1571356800000,"2019-10-17",0.00000155,0.00000158,0.00000154,0.00000157,7948012.59,12.39,
1571443200000,"2019-10-18",0.00000158,0.00000159,0.00000155,0.00000155,4717575.53,7.368,
1571529600000,"2019-10-19",0.00000151,0.00000158,0.00000147,0.00000158,8222065.43,12.5,
1571616000000,"2019-10-20",0.00000151,0.00000152,0.00000149,0.00000151,7333044.03,11.02,
1571702400000,"2019-10-21",0.00000151,0.00000154,0.00000148,0.00000151,13841114.6,20.86,
1571788800000,"2019-10-22",0.00000154,0.00000155,0.00000148,0.00000151,9901232.3,15.04,
1571875200000,"2019-10-23",0.00000156,0.00000157,0.00000153,0.00000154,10446793.79,16.2,
1571961600000,"2019-10-24",0.00000143,0.00000157,0.00000141,0.00000156,16762841.01,25.01,
1572048000000,"2019-10-25",0.00000132,0.00000144,0.00000125,0.00000143,27854412.34,36.89,
1572134400000,"2019-10-26",0.00000134,0.00000135,0.00000127,0.00000132,19966720.51,26.24,
1572220800000,"2019-10-27",0.00000142,0.00000148,0.00000133,0.00000134,31812285.77,44.36,
1572307200000,"2019-10-28",0.00000139,0.00000143,0.00000136,0.00000142,23604119.01,32.86,
1572393600000,"2019-10-29",0.0000014,0.00000165,0.00000138,0.00000139,56070697.74,81.39,
1572480000000,"2019-10-30",0.00000141,0.00000144,0.00000138,0.0000014,16621234.52,23.45,
1572566400000,"2019-10-31",0.00000148,0.00000152,0.00000141,0.00000141,43198324.09,63.94,
1572652800000,"2019-11-01",0.00000152,0.00000158,0.00000146,0.00000148,39561539.59,60.34,
1572739200000,"2019-11-02",0.00000149,0.00000153,0.00000146,0.00000152,27285757.67,40.66,
1572825600000,"2019-11-03",0.00000144,0.00000149,0.00000142,0.00000149,18649617.61,27.1,
1572912000000,"2019-11-04",0.00000151,0.00000155,0.00000144,0.00000144,21642022.92,32.47,
1572998400000,"2019-11-05",0.00000149,0.00000151,0.00000147,0.00000151,9481549.04,14.12,
1573084800000,"2019-11-06",0.00000146,0.00000149,0.00000144,0.00000149,3022894.24,4.415,
1573171200000,"2019-11-07",0.00000145,0.00000147,0.00000142,0.00000146,7529284.52,10.87,
1573257600000,"2019-11-08",0.00000146,0.00000148,0.00000143,0.00000145,4587728.91,6.674,
1573344000000,"2019-11-09",0.00000145,0.0000015,0.00000145,0.00000146,6655606.51,9.781,
1573430400000,"2019-11-10",0.00000148,0.00000149,0.00000145,0.00000145,3950937.14,5.801,
1573516800000,"2019-11-11",0.00000144,0.00000148,0.00000144,0.00000148,5260940.84,7.661,
1573603200000,"2019-11-12",0.00000148,0.00000152,0.00000144,0.00000144,26286191.77,39.23,
1573689600000,"2019-11-13",0.00000148,0.00000149,0.00000146,0.00000148,11805973.65,17.41,
1573776000000,"2019-11-14",0.00000147,0.00000149,0.00000145,0.00000148,10448018.34,15.39,
1573862400000,"2019-11-15",0.0000015,0.0000015,0.00000147,0.00000147,5016730.01,7.459,
1573948800000,"2019-11-16",0.0000015,0.00000152,0.00000148,0.0000015,8520787,12.77,
1574035200000,"2019-11-17",0.0000015,0.00000152,0.00000148,0.0000015,14263508.48,21.43,
1574121600000,"2019-11-18",0.00000148,0.00000151,0.00000145,0.0000015,18657688.43,27.52,
1574208000000,"2019-11-19",0.00000149,0.0000015,0.00000147,0.00000148,16307884.69,24.33,
1574294400000,"2019-11-20",0.00000148,0.00000151,0.00000145,0.00000149,31161691.22,46.08,
1574380800000,"2019-11-21",0.00000144,0.00000149,0.00000143,0.00000148,36757592.39,53.71,
1574467200000,"2019-11-22",0.00000146,0.00000146,0.00000143,0.00000144,26427491.64,38.2,
1574553600000,"2019-11-23",0.00000139,0.00000147,0.00000138,0.00000146,41369290.71,59.38,
1574640000000,"2019-11-24",0.00000139,0.00000144,0.00000132,0.00000139,51331440.26,70.59,
1574726400000,"2019-11-25",0.0000014,0.00000146,0.00000117,0.00000139,58464271.7,82.11,
1574812800000,"2019-11-26",0.00000144,0.00000146,0.00000139,0.0000014,32988364.13,47.35,
1574899200000,"2019-11-27",0.00000148,0.00000154,0.00000143,0.00000144,84319785.22,124.26,
1574985600000,"2019-11-28",0.00000151,0.00000156,0.00000148,0.00000148,19513587.49,30.24,
1575072000000,"2019-11-29",0.00000149,0.00000155,0.00000146,0.00000151,10278346.01,15.35,
1575158400000,"2019-11-30",0.00000147,0.00000155,0.00000147,0.00000149,20163932.53,30.35,
1575244800000,"2019-12-01",0.00000149,0.00000154,0.00000146,0.00000147,23502058.86,35.21,
1575331200000,"2019-12-02",0.0000015,0.00000154,0.00000145,0.00000149,27120869.44,40.78,
1575417600000,"2019-12-03",0.00000146,0.00000151,0.00000142,0.0000015,14329697.18,21.1,
1575504000000,"2019-12-04",0.00000141,0.00000147,0.00000139,0.00000146,11841852.28,16.85,
1575590400000,"2019-12-05",0.00000149,0.00000149,0.00000139,0.00000141,22338188.83,32.16,
1575676800000,"2019-12-06",0.00000147,0.00000153,0.00000144,0.00000149,45472902.59,67.64,
1575763200000,"2019-12-07",0.00000144,0.00000147,0.00000143,0.00000147,5240842.56,7.595,
1575849600000,"2019-12-08",0.00000144,0.00000145,0.00000141,0.00000144,8579261.59,12.25,
1575936000000,"2019-12-09",0.00000142,0.00000144,0.0000014,0.00000144,9605257.45,13.64,
1576022400000,"2019-12-10",0.00000142,0.00000143,0.0000014,0.00000142,4888319.34,6.908,
1576108800000,"2019-12-11",0.00000141,0.00000142,0.0000014,0.00000142,10798356.26,15.19,
1576195200000,"2019-12-12",0.00000141,0.00000142,0.00000139,0.00000141,20696409.78,29.11,
1576281600000,"2019-12-13",0.00000143,0.00000144,0.0000014,0.00000141,23074160.66,32.83,
1576368000000,"2019-12-14",0.00000144,0.00000145,0.00000141,0.00000143,18151442.39,26.03,
1576454400000,"2019-12-15",0.0000014,0.00000145,0.00000139,0.00000144,26136827.37,37.09,
1576540800000,"2019-12-16",0.00000134,0.00000142,0.00000133,0.0000014,29287359.02,40.25,
